,AGE,CAP_HIT,DATE,EXTENSION,LENGTH,PLAYER,POS,STRUCTURE,TEAM,TYPE,VALUE,id
337,37,750000,2022,0,1,Eric Staal,C,1-way,FLA,35+ (UFA),750000,EricStaal2022
338,29,1950000,2021,0,1,Erik Gudbranson,RD,1-way,CGY,Stnd (UFA),1950000,ErikGudbranson2021
339,30,4000000,2022,0,4,Erik Gudbranson,RD,1-way,CBJ,Stnd (UFA),16000000,ErikGudbranson2022
340,28,3000000,2020,0,1,Erik Gustafsson,LD,1-way,PHI,Stnd (UFA),3000000,ErikGustafsson2020
341,29,800000,2021,0,1,Erik Gustafsson,LD,1-way,CHI,Stnd (UFA),800000,ErikGustafsson2021
342,30,800000,2022,0,1,Erik Gustafsson,LD,1-way,WSH,Stnd (UFA),800000,ErikGustafsson2022
343,29,1750000,2020,0,1,Erik Haula,"C, LW",1-way,NSH,Stnd (UFA),1750000,ErikHaula2020
344,30,2375000,2021,0,2,Erik Haula,"C, LW",1-way,BOS,Stnd (UFA),4750000,ErikHaula2021
345,29,2108696,2022,0,1,Evander Kane,"LW, RW",1-way,EDM,Stnd (UFA),1375000,EvanderKane2022
346,26,700000,2020,0,1,Evan Rodrigues,"C, LW",1-way,PIT,Stnd (UFA),700000,EvanRodrigues2020
347,27,1000000,2021,0,1,Evan Rodrigues,"C, LW",1-way,PIT,Stnd (UFA),1000000,EvanRodrigues2021
348,28,2000000,2022,0,1,Evan Rodrigues,"C, LW",1-way,COL,Stnd (UFA),2000000,EvanRodrigues2022
349,28,4000000,2017,0,3,Evgeni Dadonov,"RW, LW",1-way,FLA,Stnd (UFA),12000000,EvgeniDadonov2017
350,31,5000000,2020,0,3,Evgeni Dadonov,"RW, LW",1-way,OTT,Stnd (UFA),15000000,EvgeniDadonov2020
351,32,2000000,2016,0,1,Fedor Tyutin,LD,1-way,COL,Stnd (UFA),2000000,FedorTyutin2016
352,35,4000000,2012,0,2,Filip Kuba,D,1-way,FLA,35+ (UFA),8000000,FilipKuba2012
353,36,1500000,2012,0,1,Francis Bouillon,LD,1-way,MTL,35+ (UFA),1500000,FrancisBouillon2012
354,35,4500000,2015,0,3,Francois Beauchemin,LD,1-way,COL,35+ (UFA),13500000,FrancoisBeauchemin2015
355,37,1000000,2017,0,1,Francois Beauchemin,LD,1-way,ANA,35+ (UFA),1700000,FrancoisBeauchemin2017
356,28,3650000,2022,0,3,Frank Vatrano,"LW, RW",1-way,ANA,Stnd (UFA),10950000,FrankVatrano2022
357,32,5250000,2016,0,6,Frans Nielsen,"C, LW",1-way,DET,Stnd (UFA),31500000,FransNielsen2016
358,28,1200000,2021,0,2,Frédérick Gaudreau,"C, LW",1-way,MIN,Stnd (UFA),2400000,FrédérickGaudreau2021
359,31,4500000,2021,0,2,Frederik Andersen,G,1-way,CAR,Stnd (UFA),9000000,FrederikAndersen2021
360,25,700000,2018,0,1,Fredrik Claesson,LD,1-way,NYR,Stnd (UFA),700000,FredrikClaesson2018
